Run!	Chạy!
Would you like something to drink?	Bạn có muốn thức uống gì không?
You can draw your own conclusions.	Bạn có thể đưa ra những kết luận của riêng mình.
You can draw your own conclusions.	Bạn có thể đưa ra những kết luận cho riêng bản thân.
You live with your parents, right?	Bạn sống với bố mẹ, đúng không?
You live with your parents, right?	Bạn sống với bố mẹ, có đúng không?
You must learn from your mistakes.	Bạn cần phải học hỏi từ sai lầm của bản thân.
You're going to get yourself shot.	Bạn đang biến mình trở thành bia đỡ đạn đấy.
You're the last hope for humanity.	Cậu là hi vọng cuối cùng của nhân loại.
You've done everything you can do.	Bạn đã làm mọi thứ bạn có thể làm.
A man's life has its ups and downs.	Lúc lên voi, lúc xuống chó.
Are you going to tell me the truth?	Em/Anh có muốn nói hết sự thực cho anh/em không?
Are you sure Tom shouldn't do that?	Bạn có chắc là Tom không nên làm vậy không?
Beef stew should be nice and thick.	Bò hầm nên tinh tế và dày.
Can anyone translate this sentence?	Có ai dịch được câu này không?
Can anyone translate this sentence?	Có ai có thể dịch được câu này không?
Can you translate this song for me?	Bạn có thể dịch bài hát này cho tôi không?
Copenhagen is a bike-friendly city.	Copenhagen là một thành phố thân thiện với xe đạp.
Copenhagen is a bike-friendly city.	Cô-pen-ha-ghen là một thành phố thân thiện với xe đạp.
Could you call again later, please?	Bạn có thể gọi lại được không?
Did Tom bring anybody to the party?	Tom có dẫn ai đến buổi tiệc không?
Did you say that I could never win?	Bạn vừa nói rằng tôi không thể thắng được à?
Do you have a course for beginners?	Bạn có khoá học nào cho người mới bắt đầu không?
Do you have any plans for tomorrow?	Mai bạn có dự định gì không?
Do you think anyone will volunteer?	Bạn có nghĩ rằng ai cũng sẽ tình nguyện?
Do you want to know how I did that?	Bạn có muốn biết là tôi đã làm điều đó như thế nào không?
Do you want to know how I did that?	Bạn có muốn biết tôi đã làm điều đó như thế nào không?
Do you want to stay here all night?	Bạn có muốn ở đây cả đêm không?
Don't laugh at a person in trouble.	Đừng cười khi người khác gặp nạn.
Don't underestimate your opponents.	Đừng đánh giá thấp đối thủ của bạn.
Every room was searched thoroughly.	Tất cả các phòng đều bị kiểm tra kỹ lưỡng.
Everything comes to those who wait.	Mọi đều tốt đẹp sẽ đến với người biết đợi chờ.
Good morning, ladies and gentlemen.	Xin gửi lời chào trân trọng tới tất cả quý ông, quý bà.
Have you stopped beating your wife?	Mày đã hết đánh vợ mày chưa?
Have you stopped beating your wife?	Mày ngưng đánh vợ mày chưa?
Have you stopped beating your wife?	Mày đã ngừng đánh vợ mày rồi hả ?
He changed his name to Tom Jackson.	Anh ấy đổi tên thành Tom Jackson.
He didn't come to the last meeting.	Anh ta đã không đếm bữa tiệc cuối.
He is an authority on criminal law.	Ông ấy là một nhà chức trách thực thi pháp luật về hình sự.
He is an authority on criminal law.	Anh ấy là một nhà chức trách thực thi pháp luật về hình sự.
He is the owner of the liquor shop.	Ông ấy là chủ quán rượu đó.
He is the owner of the liquor shop.	Anh ấy là chủ quán rượu đó.
He left the house at eight o'clock.	Anh ấy đã ra khỏi nhà lúc 8 giờ.
He left the house at eight o'clock.	Anh ấy đã rời khỏi nhà lúc 8 giờ.
He tends to ask a lot of questions.	Anh ấy hay hỏi nhiều lắm.
He warned us not to enter the room.	Anh ta đã cảnh báo chúng tôi đừng vào phòng.
He was the first to enter the room.	Anh ta là người đầu tiên bước vào trong phòng.
He went to Paris at the end of May.	Anh ấy đã đi Paris vào cuối tháng Năm.
He went to Paris at the end of May.	Anh ấy đã đi Pa-ri vào cuối tháng 5.
I am convinced that he is innocent.	Tôi tin chắc là anh ấy trong sạch.
I am convinced that he is innocent.	Tôi tin chắc là anh ấy vô tội.
I asked Tom to confirm my findings.	Tôi đã yêu cầu Tom xác nhận những phát hiện của tôi.
I assume you are talking about Tom.	Bạn có lẽ đang nói về Tom có đúng không?
I can walk to school in 10 minutes.	Tôi có thể đi bộ tới trường trong 10 phút.
I can't tell you how grateful I am.	Tôi biết ơn không sao kể hết.
I canceled an appointment with her.	Tôi đã huỷ cuộc hẹn với cô ấy.
I didn't know you collected stamps.	Trước đây tôi không biết bạn sưu tập tem.
I didn't pretend to be your friend.	Tôi không giả vờ làm bạn của anh.
I didn't want you to miss your bus.	Tôi không muốn bạn lỡ chuyến xe bus.
I don't think we can afford it now.	Tôi không nghĩ hiện tại mình đủ khả năng chi trả cho nó.
I don't understand why Tom is here.	Tôi không hiểu sao Tom lại ở đây.
I don't want to live in a big city.	Tôi không muốn sống trong một thành phố lớn.
I get scared just walking past him.	Tôi sợ hãi khi đi ngang qua anh ấy.
I go to the gym three times a week.	Tôi đến phòng tập thể dục 3 lần một tuần.
I have a friend who works for NASA.	Tôi có hai người bạn làm việc cho NASA.
I have exactly the same dictionary.	Tôi có quyển từ điển giống y hệt.
I haven't talked to you in a while.	Lâu rồi tôi không nói chuyện với bạn.
I hear you've got a new girlfriend.	Tao nghe nói máy có bạn gái mới.
I hear you've got a new girlfriend.	Tôi nghe nói anh có bạn gái mới.
I hear you've got a new girlfriend.	Em nghe nói anh có bạn gái mới.
I heard it thunder in the distance.	Từ xa tôi đã nghe thấy tiếng sét.
I heard my name called from behind.	tôi nghe thấy tên tôi được gọi ở phía sau.
I learned nothing from the teacher.	Tôi không học được gì từ giáo viên đó cả.
I learned nothing from the teacher.	Tôi không học được gì từ cô giáo đó cả.
I learned nothing from the teacher.	Tôi chẳng học được gì từ thầy giáo đó cả.
I need to leave before Tom arrives.	Mình cần phải đi trước khi Tom tới.
I never realized Tom was so stupid.	Tôi đã không ngờ là Tom lại ngu đến thế này.
I never realized Tom was so stupid.	Tôi đã không thể ngờ là Tom lại ngu ngốc đến thế này.
I never realized Tom was so stupid.	Tôi đã không ngờ được là Tom lại đần đến mức này.
I never realized Tom was so stupid.	Tôi đã không ngờ được là Tom lại ngu đến thế.
I never realized Tom was so stupid.	Tôi đã không thể ngờ được là Tom lại ngu xuẩn đến thế.
I opened the box and looked inside.	Tôi mở hộp và nhìn vào bên trong.
I promise I'll never do that again.	Tôi hứa là sẽ không tái phạm nữa.
I promised Tom I'd wait until 2:30.	Tôi đã hứa với Tom là tôi sẽ đợi đến 2 rưỡi.
I promised Tom I'd wait until 2:30.	Tôi hứa với Tom là tôi sẽ đợi đến 2 giờ 30.
I saw many birds yesterday morning.	Hôm qua tôi nhìn thấy rất nhiều chim.
I saw many birds yesterday morning.	Hôm qua tôi đã trông thấy rất nhiều chim.
I should get back to the hotel now.	Tới lúc tôi nên quay lại khách sạn rồi.
I should probably help Tom do that.	Có lẽ mình nên giúp Tom làm cái đó.
I stayed indoors because it rained.	Tôi ở trong nhà vì trời mưa.
I think I have a theory about that.	tôi nghĩ tôi có một giả thuyết về điều đó
I think I should've asked for help.	Tôi nghĩ rằng đáng lẽ tôi nên nhờ giúp đỡ mới phải.
I think I'm starting to understand.	Tôi nghĩ tôi bắt đầu hiểu rồi.
I think Tom and Mary are both busy.	Tôi nghĩ là cả Tom lẫn Mary đều bận.
I think Tom and Mary are both busy.	Tôi nghĩ Tom và Mary đều bận.
I think both Tom and Mary are busy.	Tôi nghĩ là cả Tom lẫn Mary đều bận.
I think both Tom and Mary are busy.	Tôi nghĩ Tom và Mary đều bận.
I think that Tom is looking for us.	Tôi nghĩ rằng Tom đang tìm chúng tôi.
I think this will change your life.	Tôi nghĩ điều này sẽ thay đổi cuộc sống của bạn.
I think you're underestimating Tom.	Tôi nghĩ bạn đang đánh giá thấp Tom.
I think you're underestimating Tom.	Tôi nghĩ là bạn đang đánh giá thấp Tom rồi.
I thought I could change your mind.	Tôi đã tưởng là tôi có thể thay đổi suy nghĩ của bạn.
I thought you lived on Park Street.	Tôi tưởng cậu ở phố Park cơ.
I want to live in Kyoto or in Nara.	Tôi muốn sống ở Kyoto hoặc là Nara.
I want you to tell me who did this.	Tôi muốn bạn nói cho tôi biết ai đã làm chuyện này.
I want you to tell me who did this.	Tôi muốn bạn nói cho tôi biết ai đã làm điều này.
I want you to tell me who did this.	Tôi muốn bạn nói tôi biết ai đã làm việc này.
I will go cycling even if it rains.	Cho dù trời mưa tôi vẫn sẽ đạp xe.
I will go cycling even if it rains.	Dù trời có mưa thì tôi vẫn sẽ đi đạp xe.
I'd love to see inside Tom's house.	Tôi rất mong được thấy bên trong căn nhà của Tom.
I'm learning two foreign languages.	Tôi đang học hai ngoại ngữ.
I'm learning two foreign languages.	Tôi đang học hai ngoại ngữ. .
I'm struggling with French grammar.	Tôi đang chật vật với ngữ pháp tiếng Pháp.
I'm struggling with French grammar.	Tôi đang chật vật với ngữ pháp của tiếng Pháp.
I've actually never studied French.	Thực sự tôi chưa bao giờ học tiếng Pháp.
If I don't do it now, I never will.	Nếu tôi không làm bay giờ thì tôi sẽ không bao giờ làm hết.
If I had money, I'd buy a computer.	Nếu tôi có tiền, tôi sẽ mua máy vi tính.
If you'd like, you may use my desk.	Nếu bạn muốn thì bạn có thể dùng bàn của tôi.
If you'd like, you may use my desk.	Bạn có thể dùng bàn của tôi nếu bạn muốn.
Is it all right to eat out tonight?	Ra ngoài ăn tối hôm nay liệu có ổn không?
It seems my dreams never come true.	Dường như giấc mơ của tôi chẳng bao giờ thành hiện thực.
It was a pleasure to work with Tom.	Rất vui vì đã được làm việc với Tom.
It's difficult to remember details.	Thật khó để mà nhớ được những chi tiết nhỏ nhặt.
It's no use crying over spilt milk.	Chuyện gì đã qua thì cho qua.
It's not much of a surprise, is it?	Nó không nhiều ngạc nhiên, đúng không?
It's time for you to buy a new car.	Đã đến lúc bạn cần mua một chiếc ô tô mới.
It's time for you to buy a new car.	Đã đến lúc bạn cần mua một chiếc xe hơi mới rồi đấy.
Let's eat now. I'm dying of hunger.	Chúng ta ăn thôi. Tôi sắp chết vì đói rồi.
Let's pick flowers from the garden.	Hãy đi hái hoa trong vườn nào.
Mary asked Tom to zip up her dress.	Mary đã nhờ Tom kéo khóa váy lên giúp cô ấy.
Mary is very good at belly dancing.	Mary múa bụng rất giỏi.
Mary placed her purse on the table.	Mary đã để cái ví ở trên bàn.
Mr. Jackson is our science teacher.	Thầy Jackson là giáo viên môn Khoa học của chúng tôi.
My aunt sent me a birthday present.	Dì đã gửi cho tôi một món quà sinh nhật.
My family goes skiing every winter.	Mùa đông nào gia đình tôi cũng đi trượt tuyết.
My father is the tallest of us all.	Trong chúng tôi, bố tôi là người cao nhất.
My heart was filled with happiness.	Tim tôi tràn ngập hạnh phúc.
My mother is a high school teacher.	Mẹ tôi là giáo viên dạy cấp 3.
My mother is a high school teacher.	Mẹ tôi là giáo viên cấp 3.
My mother told me to behave myself.	Mẹ bảo tôi phải cư xử cho đúng.
My mother told me to behave myself.	Mẹ nhắc nhở tôi phải cư xử cho đúng mực.
Never bite the hand that feeds you.	Đừng bao giờ ăn cháo đá bát.
Never bite the hand that feeds you.	Đừng bao giờ ăn cháo đá bát, vong ơn bội nghĩa với người đã giúp đỡ mình.
Nobody cares about this except you.	Không ai quan tâm đến điều đó trừ cậu ra.
Oh, is that the way you milk a cow?	Ồ, bạn vắt sữa bò như thế hả?
Plants take in water from the soil.	Thực vật lấy nước từ đất.
She asked me who had arrived first.	Cô ấy hỏi tôi là ai đã đến nơi đầu tiên.
She came to Tokyo at the age of 18.	Cô ấy đã lên thủ đô khi cô ấy 18 tuổi.
She came to Tokyo at the age of 18.	Cô ấy đã lên Tokyo khi cô ấy mười tám tuổi.
She is a fluent speaker of English.	Cô ấy là một người nói tiếng Anh nhuần nhuyễn.
She is a fluent speaker of English.	Cô ấy là một người nói tiếng Anh thông thạo.
She is learning how to drive a car.	Cô ấy đang học cách lái xe.
She is not a doctor, but a teacher.	Cô ấy không phải là một bác sĩ, mà là một giáo viên.
She is not a doctor, but a teacher.	Cô ấy không phải là một bác sỹ, mà là một giáo viên.
She is very thoughtful and patient.	Cô ấy rất kiên nhẫn và suy nghĩ vô cùng thấu đáo.
She parked her car in a vacant lot.	Cô ấy đỗ xe vào chỗ trống.
That movie was shown on television.	Phim này đã được phát trên truyền hình.
That's the reason I went to Boston.	Đó là lý do tôi đã đi Boston.
That's the reason I went to Boston.	Đó là lý do mà tôi đã đi Boston.
That's the way the cookie crumbles.	Bánh quy vỡ ra nhưng thế này nè.
That's what happened the last time.	Chuyện lần trước nó là như vậy đấy.
The baby is sleeping in the cradle.	Em bé đang ngủ ở trong cũi.
The planets revolve around the sun.	Các hành tinh quay xung quanh mặt trời.
The roof leaks every time it rains.	Mái dột mỗi khi trời mưa.
The school is two kilometers ahead.	Ngôi trường ở phía trước 2 cây số.
The word "theory" is often misused.	Từ "giả thuyết" rất hay bị lạm dụng.
There was little water in the well.	Có một ít nước trong giếng.
There's no need to wait any longer.	Không cần đợi lâu hơn nữa.
There's no need to wait any longer.	Không cần thiết phải chờ đợi lâu hơn nữa.
This broken vase can't be repaired.	Cái bình hoa vỡ này không thể sửa được.
This fruit has an unpleasant smell.	Loại trái cây này có mùi khó ngửi.
This is the second time I've flown.	Đây là lần thứ hai tôi bay.
This vending machine isn't working.	Cái máy bán hàng tự động này không hoạt động.
Those are the leftovers from lunch.	Đó là phần thức ăn thừa bữa trưa.
To tell the truth, she is my niece.	Nói thiệt nha, nó là cháu gái của tôi đó.
Tom accompanied Mary on the guitar.	Tom phụ họa với Mary bằng đàn ghi-ta.
Tom always forgets Mary's birthday.	Tom hay quên sinh nhật Mary.
Tom and Mary are both really tired.	Tom và Mary đều thật sự rất mệt.
Tom asked Mary if she trusted John.	Tom hỏi Mary liệu cô có tin tưởng John.
Tom asked me if I had a girlfriend.	Tom hỏi tôi có bạn gái chưa.
Tom asked me if I had a girlfriend.	Tom hỏi tôi là có bạn gái chưa.
Tom bought a new set of headphones.	Tom đã mua một cái tai nghe.
Tom bought a new set of headphones.	Tom đã mua một cái tai nghe chụp tai.
Tom clearly isn't happy to be here.	Tom rõ ràng là không vui khi ở đây.
Tom considers himself good-looking.	Tom nghĩ mình đẹp trai.
Tom didn't even notice I was there.	Tom thậm chí còn không nhận ra là tôi ở đó.
Tom didn't even notice I was there.	Thậm chí Tom còn không để ý là tôi ở đó.
Tom didn't expect to see Mary here.	Tom không hy vọng thấy Mary ở đây.
Tom didn't mean to make Mary angry.	Tom không có ý làm cho Mary giận giữ.
Tom didn't want to be sent to jail.	Tom không muốn vào tù.
Tom doesn't know much about Boston.	Tom không biết nhiều về Boston.
Tom gave Mary all the money he had.	Tom đã đưa Mary toàn bộ số tiền anh ấy có.
Tom gave Mary all the money he had.	Tom đưa cho Mary toàn bộ số tiền mà ông ấy có.
Tom has been avoiding Mary all day.	Tom đã cố gắng tránh Mary suốt ngày.
Tom hid the knife under his pillow.	Tom giấu con dao dưới gối.
Tom hid the knife under his pillow.	Tom đã giấu con dao dưới gối của anh ấy.
Tom is intoxicated, but Mary isn't.	Tom đã bị nhiễm độc, nhưng Mary thì không.
Tom is standing right next to Mary.	Tom đang đứng ngay bên cạnh Mary.
Tom isn't sure he wants to do this.	Tom không chắc là anh ta muốn làm việc này.
Tom isn't sure he wants to do this.	Tom không chắc là ông ta muốn làm cái điều này.
Tom left his umbrella on the train.	Tom bỏ quên dù của nó trên xe lửa.
Tom left his umbrella on the train.	Tom bỏ quên dù của nó trên tàu hỏa.
Tom left his umbrella on the train.	Tom bỏ quên dù của nó trên tàu lửa.
Tom left his umbrella on the train.	Tom bỏ quên dù của anh ấy trên tàu hỏa.
Tom never wanted to live in Boston.	Tom đã không hề muốn sống ở Boston.
Tom said he didn't know the answer.	Tom nói là anh ta không biết đáp án.
Tom said he regrets not doing that.	Tom nói anh ấy hối hận vì đã không làm điều đó.
Tom said that he was going to quit.	Tom đã nói anh ấy sẽ rời đi.
Tom said that he was going to quit.	Tom đã nói anh ấy định nghỉ việc.
Tom says he still can't believe it.	Tom nói là anh ấy vẫn chưa thể tin được điều đó.
Tom spoke to Mary about the matter.	Tom đã nói với Mary về vấn đề đó.
Tom studied the document carefully.	Tom nghiên cứu tài liệu một cách cẩn thận.
Tom thinks you should talk to Mary.	Tom nghĩ là bạn nên nói chuyện với Mary.
Tom told me that he likes swimming.	Tom bảo tôi rằng cậu ấy thích bơi lội.
Tom told me that he never saw Mary.	Tom từng nói với tôi anh ấy chưa từng gặp Mary.
Tom was well prepared for the exam.	Tom đã chuẩn bị đầy đủ cho kỳ thi.
Tom wondered why his wife left him.	Tom đã tự hỏi vì sao vợ anh ta rời bỏ anh ta.
Tom's mother lives in this village.	Mẹ Tom sống ở ngôi làng này.
Tom's mother lives in this village.	Mẹ của Tom sống ở ngôi làng này.
We can't predict what might happen.	Chúng tôi không thể đoán trước được chuyện gì sẽ xảy ra.
We can't predict what might happen.	Chúng ta không dự đoán trước được điều gì có thể xảy ra.
We don't come to Boston very often.	Chúng tôi không hay đến Boston.
We should leave while we still can.	Chúng ta nên đi khi còn có thể.
We weren't given any food or water.	Bọn mình không nhận được đồ ăn hay nước uống.
We'll purchase a new car next week.	Nhà tôi định mua một cái ô tô mới vào tuần sau.
We'll purchase a new car next week.	Chúng tôi dự định là tuần sau sẽ mua một cái xe hơi mới.
We're not going to let Tom do that.	Bọn mình không thể để Tom làm việc đó.
We've had a lot of rain this month.	Trời mưa rất nhiều trong tháng này.
Wet dogs smell worse than dry ones.	Những con chó ướt có mùi hôi hơn những con chó khô.
What do you think she is doing now?	Bạn nghĩ bây giờ cô ấy đang làm gì?
What is the origin of the universe?	Nguồn gốc của vũ trụ là gì?
What time do you usually go to bed?	Bạn hay ngủ lúc mấy giờ?
What time do you usually go to bed?	Bạn thường hay ngủ vào lúc mấy giờ?
What would you recommend that I do?	Cậu khuyên tớ nên làm gì?
What's the population of Australia?	Dân số nước Úc là bao nhiêu người?
What's your favorite national park?	Công viên quốc gia nào bạn thích nhất?
When did you start studying French?	Bạn bắt đầu học tiếng Pháp từ khi nào?
Where do I get on the number 7 bus?	Tôi lên xe buýt số 7 ở đâu được?
Which hotel will you be staying at?	Bạn sẽ ở khách sạn nào?
Which subject do you like the most?	Bạn thích môn học nào nhất?
Which subject do you like the most?	Bạn thích môn nào nhất?
Why don't we play tennis on Monday?	Tại sao chúng ta không chơi quần vợt vào Thứ hai nhỉ?
You don't eat meat anymore, do you?	Cậu không ăn thịt nữa phải không?
You don't have all the information.	Bạn không có tất cả dữ kiện.
You don't seem too happy to see me.	Bạn có vẻ không được vui lắm khi thấy tôi.
A friend in need is a friend indeed.	Một người bạn có mặt lúc ta cần là một người bạn thực sự
A friend in need is a friend indeed.	Trong hoạn nạn mới biết bạn là ai.
All good things must come to an end.	Cuộc vui nào cũng sẽ tàn.
All good things must come to an end.	Cuộc vui nào rồi cũng sẽ đến hồi kết.
All the students attended the party.	Tất cả học sinh/sinh viên đã tham dự buổi tiệc.
All you can do is trust one another.	Tất cả bạn có thể làm là tin tưởng lẫn nhau.
Are you saying my life is in danger?	Cậu nói rằng tôi đang gặp nguy hiểm đến tính mạng sao?
Aren't you supposed to be at school?	Giờ này sao không ở trường?
At least tell me where you're going.	Ít nhất bạn cũng phải cho tôi biết bạn định đi đâu.
Can you spell your last name for me?	Bạn có thể đánh vần họ của bạn dùm tôi?
Could you please turn down the heat?	Bạn có thể vui lòng giảm nhiệt độ xuống không?
Do you have a lot of money with you?	Cậu mang theo nhiều tiền chứ?
Do you have any idea who killed Tom?	Bạn có bất cứ suy luận nào về người đã giết Tom không?
Do you know how to use a dictionary?	Bạn có biết cách dùng từ điển không?
Do you know the town where he lives?	Bạn có biết thị trấn nơi anh ấy ở không?
Do you think you're smarter than me?	Cậu nghĩ mình thông minh hơn tớ á?
Do you want to tell me what this is?	Bạn có muốn nói cho tôi đây là cái gì không?
Don't forget to call me up tomorrow.	Đừng quên gọi tôi dậy vào ngày mai.
Every town in America has a library.	Thị trấn nào ở Mỹ cũng có thư viện.
From there, one could see perfectly.	Có một điểm nhìn hoàn hảo ở đằng đó.
Getting married is a serious matter.	Kết hôn là một vấn đề quan trọng.
He has decided to carry on the work.	Anh quyết định tiếp tục công việc.
He has more money than he can spend.	Số tiền anh ấy có được nhiều đến độ tiêu không xuể.
He has more money than he can spend.	Anh ta nhiều tiền đến độ tiêu không hết.
He is not too poor to buy a bicycle.	Anh ấy không nghèo tới mức không mua nổi một chiếc xe đạp.
He is short, but good at basketball.	Nó tuy lùn nhưng chơi bóng rổ rất giỏi.
He is short, but good at basketball.	Nó lùn nhưng rất giỏi môn bóng rổ.
He married his daughter to a lawyer.	Ông ấy đã gả con gái mình cho một luật sư.
He promised not to tell another lie.	Nó đã hứa không nói dối nữa.
He was looking through a microscope.	Anh ta nhìn bằng kính hiển vi.
He was thrown in prison for robbery.	Anh ta bị bỏ tù vì ăn trộm.
Hello. Could I speak to Tom Jackson?	Xin chào. Tôi có thể nói chuyện với Tom Jackson được không?
How many hours of sleep do you need?	Bạn cần bao nhiêu tiếng đồng hồ để ngủ vậy?
I could've killed you, but I didn't.	Tôi có thể giết cậu nhưng tôi đã không làm vậy.
I dedicate this book to my daughter.	Tôi dành tặng cuốn sách này cho con gái tôi.
I didn't like dogs when I was a kid.	Lúc còn nhỏ tôi không thích chó.
I didn't like dogs when I was a kid.	Hồi còn nhỏ tôi không thích chó.
I didn't want to go to your wedding.	Lúc đó, tôi không muốn đi dự đám cưới của bạn.
I didn't want to take all the money.	Tôi không muốn lấy hết tiền.
I don't go out by myself after dark.	Tôi không đi ra ngoài một mình sau khi trời đã tối.
I don't have any small change on me.	Tôi không mang theo tiền lẻ.
I don't have the stamina to do that.	Tôi không có sức chịu đựng để làm điều đó.
I don't think Tom liked the concert.	Tôi không nghĩ là Tom thích buổi hòa nhạc đó.
I don't think he is fit for the job.	Tôi không cho rằng anh ấy phù hợp với công việc đó.
I don't think that any of them know.	Tôi không nghĩ rằng bất cứ ai trong số họ biết.
I don't want to discuss my problems.	Tớ không muốn nói về vấn đề của mình.
I don't want to spend more than $10.	Tôi không muốn tiêu nhiều hơn 10 Đô-la.
I don't want to spend more than $10.	Tui không muốn xài nhiều hơn 10 Đô.
I doubt that Tom will agree to that.	Tôi không chắc là Tom sẽ đồng ý với điều đó.
I finally came up with a great idea.	Cuối cùng tôi cũng tìm được một ý tưởng tuyệt vời.
I hardly ever speak French nowadays.	Dạo này tôi rất ít nói tiếng Pháp.
I hardly ever speak French nowadays.	Dạo này tôi rất ít khi nói tiếng Pháp.
I heard you're pretty good at chess.	Tôi nghe nói là bạn chơi cờ vua khá giỏi.
I heard you're pretty good at chess.	Nghe nói là bạn khá giỏi chơi cờ vua.
I heard you're pretty good at chess.	Tôi nghe nói là bạn khá giỏi cờ vua.
I just spent an hour talking to Tom.	Tôi vừa dành một tiếng nói chuyện với Tom.
I just spent an hour talking to Tom.	Tôi vừa dành một tiếng đồng hồ nói chuyện với Tom.
I just spent an hour talking to Tom.	Tôi vừa dành một giờ đồng hồ nói chuyện với Tom.
I overslept and was late for school.	Tôi đã ngủ dậy muộn và bị muộn học.
I skip ads on videos whenever I can.	Tôi bỏ qua quảng cáo trên video bất cứ khi nào có thể.
I think you shouldn't be doing that.	Tôi nghĩ là bạn không nên làm thế.
I think you shouldn't be doing that.	Tôi nghĩ là bạn không nên làm vậy.
I think you shouldn't be doing that.	Tôi nghĩ bạn không nên làm điều đó.
I tried, but I wasn't able to do it.	Tôi đã thử, nhưng tôi không thể làm được việc đó.
I was tired, so I went to bed early.	Tôi mệt nên tôi đi ngủ sớm.
I wish I could eat steak more often.	Tôi ước tôi có thể ăn bít tết thường xuyên hơn.
I wish I knew what Tom was thinking.	Ước gì tôi biết Tom đang nghĩ gì.
I wish I knew what Tom was thinking.	Tôi ước gì tôi biết những gì Tom đang nghĩ trong đầu.
I won't ask you anything else today.	tôi sẽ không hỏi bạn bất cứ điều gì khác hôm nay
I'll have to talk to Tom about that.	Tôi sẽ phải nói chuyện với Tom về điều đó.
I'll let Tom know when we'll arrive.	Tôi sẽ cho Tom biết khi chúng ta đến nơi.
I'm getting off at the next station.	Tôi sẽ xuống ở chặng đỗ tới.
I'm going to do what I've been told.	Tôi sẽ làm những điều mà tôi đã nói.
I'm not as stupid as you think I am.	Tôi không có ngốc như bạn tưởng đâu.
I'm not telling you my phone number.	Tôi sẽ không nói cho bạn biết số điện thoại của tôi đâu.
I'm trying to find a picture of Tom.	Tôi đang cố gắng tìm một bức ảnh của Tom.
I've just finished eating breakfast.	Tôi vừa ăn bữa sáng xong.
I've just finished eating breakfast.	Tôi vừa ăn sáng xong.
If you're hungry, why don't you eat?	Nếu ấy đói thì sao không ăn đi?
Is it comfortable to travel by ship?	Đi thuyền có thoải mái không?
Is it possible to see Venus tonight?	Tôi nay có thể thấy sao Vệ Nữ không?
Is your house far from your company?	Nhà của bạn có xa công ty (của bạn) không?
It is no use crying over spilt milk.	Chuyện gì đã qua thì cho qua.
It is up to us to help those people.	Tùy chúng tôi giúp đỡ những người đó.
Let's try to answer these questions.	Hãy thử trả lời những câu hỏi này.
May I direct your attention to this?	Xin làm ơn chú ý.
My mother carefully opened the door.	Mẹ tôi cẩn thận mở cửa.
Refrigerators help to preserve food.	Tủ lạnh giúp bảo quản thức ăn.
Refrigerators help to preserve food.	Tủ lạnh giúp bảo quản thực phẩm.
Replace the old tires with new ones.	Hãy thay lốp cũ bằng lốp mới đi.
She came to Japan to study Japanese.	Cô ấy đến Nhật để học Nhật ngữ.
She came to Japan to study Japanese.	Cô ấy đến Nhật để học tiếng Nhật.
She doesn't have a driver's license.	Chị ấy không có bằng lái xe.
She encouraged him to write a novel.	Cô ấy khuyến khích anh ấy viết một cuốn tiểu thuyết.
She was named after her grandmother.	Cô ta được đặt tên theo tên bà mình.
The bus stopped, but no one got out.	Xe buýt đã dừng nhưng không một ai xuống xe cả.
The bus stopped, but nobody got off.	Xe buýt đã dừng nhưng không một ai xuống xe cả.
The company wants to hire 20 people.	Công ty muốn thuê 20 người.
The dragon is an imaginary creature.	Rồng là một loài sinh vật tưởng tượng.
The jets took off one after another.	Máy bay phản lực lần lượt cất cánh.
The police officer blew his whistle.	Cảnh sát thổi còi.
The president has abolished slavery.	Tổng thống đã bỏ chế độ sở hữu nô lệ.
The situation seemed out of control.	Tình hình có vẻ mất kiểm soát.
The stars were twinkling in the sky.	Các vì sao đang lấp lánh trên bầu trời.
The stars were twinkling in the sky.	Những ngôi sao đang sáng lấp lánh trên bầu trời.
The very thought is abhorrent to me.	Chỉ nghĩ đến nó thôi là tôi đã thấy đáng sợ rồi.
The village I live in is very small.	Ngôi làng nơi tôi sống rất nhỏ.
There won't be so many people there.	Sẽ không có nhiều người ở đó.
This broken vase cannot be repaired.	Cái bình hoa vỡ này không thể sửa được.
This door is locked from the inside.	Cửa này bị khóa bên trong rồi.
This door is locked from the inside.	Cái cửa này bị khóa bên trong.
This flashlight needs two batteries.	Cái đèn pin này cần hai cục pin.
This is about all I can put up with.	Tôi sắp không chịu được nữa rồi đấy.
This is about all I can put up with.	Tôi sắp chịu đựng không nổi rồi.
Though it was raining, she went out.	Mặc dù trời mưa nhưng cô ấy vẫn đi ra ngoài.
Though it was raining, she went out.	Mặc dù lúc đó trời đang mưa, cô ấy vẫn ra ngoài.
Today I want to eat something light.	Hôm nay tôi muốn ăn gì đó nhẹ nhẹ quá.
Today I want to eat something light.	Hôm nay tôi muốn ăn thứ gì đó nhẹ nhàng quá.
Tom and I were meant for each other.	Tôi và Tom đã từng là thứ gì đó của nhau.
Tom asked Mary to help John do that.	Tom nhờ Mary giúp John làm cái đó.
Tom asked Mary to turn on the light.	Tom bảo Mary bật cái đèn lên.
Tom assumed that Mary would be late.	Tom đoán là Mary sẽ tới muộn.
Tom begged Mary not to say anything.	Tom đã cầu xin Mary đừng nói bất kỳ điều gì nữa.
Tom came straight home after school.	Sau khi tan học, Tom đã về thẳng nhà.
